"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0.1 ohm, 1/4W";"R_R0603";"R0603";"R5";"RESISTOR, American symbol";"";
"1";"0.56_HEX_BACKPACK";"0.56_HEX_BACKPACK";"0.56_HEX_BACKPACK";"U1";"0.56" LED HEX Backback - Adafruit HT16K33 -";"";
"4";"1k";"R_R0603";"R0603";"R2, R3, R4, R9";"RESISTOR, American symbol";"";
"1";"BLUE_LED";"LED";"EIA-STD";"D5";"EIA-STD LED, LTST-C191TBKT";"";
"1";"BLUE_PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW2";"";"";
"1";"BUZZER";"BUZZER";"BUZZER_6.5MM";"U3";"CEM-1203 Buzzer";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";
"1";"GREEN_PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW1";"";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U2";"";"";
"1";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"R1";"Potentiometer - Examples:";"";
"1";"RED_LED";"LED";"EIA-STD";"D6";"EIA-STD LED, LTST-C191TBKT";"";
"1";"WHITE_LED";"LED";"EIA-STD";"D7";"EIA-STD LED, LTST-C191TBKT";"";
"4";"YELLOW_LED";"LED";"EIA-STD";"D1, D2, D3, D4";"EIA-STD LED, LTST-C191TBKT";"";
